"[98, 43.18213992270621]","[96, 40.857374408933744]","[97, 39.341143977016124]","[9, 38.16745305841657]","[95, 36.0412693115354]","[963, 35.5030635731038]","[919, 34.49068184123399]","[969, 34.07325398526336]","[91, 34.00337106957329]","[92, 33.63820244448694]"
"[98, 31.79693304472973]","[97, 28.951670011933963]","[96, 27.504730415104184]","[9, 27.350299040169375]","[99, 27.242945806096074]","[95, 26.111598477215527]","[969, 25.575227697250263]","[963, 23.733641395119506]","[92, 23.144725326045695]","[91, 22.548289900094268]"
"[98, 48.348707030575966]","[96, 46.861384039287366]","[9, 44.074403079538754]","[97, 41.26297133360517]","[92, 40.26262233754864]","[99, 39.78768849082254]","[93, 38.477622483572596]","[919, 38.42786278319619]","[95, 38.14689540018857]","[963, 37.916037407030736]"
"[98, 29.074263895499588]","[9, 25.649731287318573]","[96, 24.82910171039839]","[919, 24.602971611608638]","[97, 24.58548918059368]","[91, 24.162800083778183]","[99, 24.14201573610716]","[963, 23.848010243572723]","[93, 23.52006588920042]","[95, 22.937528782794246]"
"[98, 34.5398655316716]","[9, 32.40424274375862]","[93, 30.763349865473153]","[924, 29.75763905829078]","[96, 28.39087521931928]","[919, 26.115089263988043]","[926, 25.871847245756037]","[95, 25.78500198968193]","[993, 25.71314976916166]","[936, 25.303914124016607]"
"[98, 38.91438364857271]","[97, 36.20827515873567]","[9, 35.572473289685036]","[96, 35.219608028788755]","[95, 33.741497872131866]","[99, 31.849952147934538]","[92, 31.40021630141181]","[969, 30.94929858097995]","[963, 30.624066496431904]","[919, 29.468202182811293]"
"[9, 35.18652545201896]","[98, 31.541745389228875]","[93, 30.616503364023572]","[919, 29.128433244496584]","[96, 24.38954972629698]","[924, 23.271420422795504]","[95, 22.863144596966897]","[993, 19.99656303633056]","[97, 19.96902110462061]","[936, 18.971401889043484]"
"[9, 45.244556511810906]","[98, 43.63721672797843]","[99, 39.94139868746783]","[96, 39.6526268477298]","[97, 39.59521183174293]","[963, 38.62696157550465]","[969, 38.39712183659635]","[91, 37.82395176717577]","[93, 37.2731216501892]","[92, 36.57055487576815]"
"[98, 20.48636507615872]","[9, 18.69533084338076]","[96, 17.403618138010007]","[95, 15.918274987656618]","[93, 15.78941178057164]","[97, 15.786674476299819]","[99, 14.849849052728372]","[919, 14.20164746239007]","[91, 13.867569487989307]","[902, 13.726132913174713]"
"[98, 31.380020171805022]","[96, 29.77261230209233]","[95, 29.486272370793355]","[97, 28.03928527195831]","[99, 27.818514237816814]","[969, 26.107215938912027]","[91, 24.93591944453093]","[9, 23.648069128699326]","[94, 22.19427256295636]","[963, 21.850162680879738]"
"[98, 28.58423689965146]","[96, 21.602127067305283]","[9, 20.047371669421413]","[93, 19.795295177021707]","[95, 19.30485481825264]","[919, 19.296799395400416]","[924, 18.205304771111717]","[97, 18.00728535537388]","[99, 16.484967642408076]","[993, 16.372749253963228]"
"[96, 40.22266462405292]","[98, 39.41961542287612]","[95, 32.78302002257532]","[92, 31.584650594679026]","[919, 29.9749681427029]","[91, 29.715126201475982]","[97, 29.628109620229157]","[99, 29.2316641187911]","[9, 28.970138881269037]","[94, 27.93581958398035]"
"[98, 45.25915331711354]","[96, 41.604527448384395]","[97, 39.64657866986137]","[9, 37.30447140050168]","[969, 37.14913455529603]","[91, 36.561727286067644]","[919, 36.514543491326485]","[99, 35.6748136280244]","[95, 34.96924539089424]","[963, 33.09013606867255]"
"[98, 37.502563288470796]","[9, 32.84468664595905]","[97, 31.94617642142386]","[96, 31.07347554076893]","[95, 29.642779111174626]","[92, 29.44829362802817]","[963, 28.6407079586117]","[919, 27.181003567607508]","[99, 27.037828167002672]","[969, 26.938039298352948]"
"[97, 33.6224679570435]","[98, 33.57672485008465]","[96, 31.97952059989809]","[99, 29.515680633713483]","[91, 28.81001014787695]","[9, 28.59754590346244]","[969, 28.5359333856406]","[95, 28.039129679297453]","[919, 26.918041891435653]","[963, 25.717732002832413]"
"[98, 40.4306113290975]","[93, 36.797338184132386]","[9, 36.457613386899574]","[924, 33.613022706426904]","[96, 33.57594697655163]","[919, 31.840568822451818]","[928, 30.578341588114135]","[95, 30.23062394282306]","[97, 28.111244868466226]","[926, 27.823157875120835]"
"[98, 22.31480549533517]","[9, 22.276905416173047]","[93, 18.703389173091335]","[96, 18.241711807045654]","[928, 16.65450120255403]","[924, 15.82831277891328]","[97, 15.718850078204499]","[919, 15.38875334201928]","[95, 14.869208682823087]","[91, 14.605071720058936]"
"[98, 31.029364839565027]","[96, 29.005911919893773]","[97, 24.53847812287147]","[95, 23.96358716146453]","[9, 23.751465490947854]","[99, 23.430167942614375]","[91, 21.772396619017645]","[94, 21.17614299921816]","[969, 21.068810039711998]","[92, 20.73417031276564]"
"[98, 21.778888251677206]","[9, 19.743870827168408]","[96, 17.396122597908235]","[97, 17.235160592399446]","[95, 16.919743687087045]","[902, 16.484029470572274]","[99, 16.135764571736484]","[919, 15.347226689758841]","[92, 15.328348013877507]","[900, 15.14718649166557]"
"[96, 24.523508310323752]","[95, 22.927470791281607]","[98, 22.672081451824244]","[97, 21.022350422664125]","[9, 21.005694134331687]","[91, 19.324301300657364]","[99, 19.297331761889627]","[919, 18.616732980606532]","[902, 17.647446078808354]","[92, 17.57533847996078]"
"[9, 15.861086655295079]","[98, 15.09950065865463]","[96, 14.108602585031488]","[97, 13.711298834190277]","[93, 13.609368208265106]","[900, 13.190475182436591]","[902, 12.56797603448795]","[919, 12.531306682970277]","[95, 11.921878102664824]","[923, 11.647153205642224]"
"[98, 32.73897514372324]","[9, 31.653681022866238]","[93, 31.12712294596954]","[96, 28.42502079313235]","[919, 28.38094997510898]","[924, 25.745591857165945]","[95, 23.98569280618506]","[993, 23.90323082561398]","[928, 22.40513033238683]","[97, 22.254606597108275]"
"[98, 22.58283078376115]","[9, 20.75701702532155]","[96, 18.892036987407387]","[937, 18.803637790822002]","[988, 16.004694367029355]","[902, 15.957016503340784]","[984, 15.550713908273362]","[93, 15.250506206615084]","[993, 15.197536025683217]","[95, 14.869932418839944]"
"[98, 15.86257471830501]","[9, 14.637608169013616]","[937, 12.502741502559795]","[990, 12.026336405813419]","[96, 11.438212100176282]","[93, 10.987531621289953]","[902, 10.606852201679349]","[988, 10.103140424366275]","[97, 9.99786381657509]","[984, 9.792792192643564]"
"[9, 24.49202075291065]","[98, 23.616575834496537]","[937, 21.906913291622057]","[96, 19.51945450777687]","[902, 19.265344131402326]","[984, 17.043422806391078]","[988, 17.030708039582812]","[93, 16.721713263851466]","[95, 16.478408505295345]","[919, 15.321566010367864]"
"[9, 15.640663131655451]","[98, 14.556154349647635]","[96, 12.376077649907476]","[937, 12.07521050867623]","[988, 11.682358931682685]","[902, 11.24819340528751]","[95, 10.74084962406293]","[93, 10.049951432768495]","[919, 9.999484873661082]","[97, 9.799787125069798]"
"[96, 43.90393888331994]","[98, 38.65352172111258]","[92, 32.44570779403435]","[95, 31.845123780766276]","[97, 30.804530308331966]","[91, 27.816737103264472]","[99, 27.717415018270056]","[969, 27.12119514813541]","[9, 26.199661526928523]","[919, 25.999038933053786]"
"[98, 28.522545239959985]","[96, 28.243504454818048]","[95, 24.439625564414563]","[97, 23.865299210710752]","[99, 22.713279005859516]","[928, 22.384839622069236]","[9, 22.20436577325291]","[969, 21.97314912497608]","[91, 21.117818156097083]","[94, 20.42132508049694]"
"[9, 25.648810480499392]","[902, 22.981453569762262]","[937, 22.54089322016281]","[98, 22.361860309533235]","[900, 20.276636921134827]","[96, 19.881380206662687]","[93, 18.51855309109014]","[919, 15.826922719199494]","[984, 15.28673216305678]","[97, 15.230784151008502]"
"[9, 25.35590504010363]","[937, 23.5694400951477]","[902, 23.34117734161216]","[900, 23.12784145039602]","[98, 20.982235377186502]","[96, 19.67221433277659]","[93, 17.18129736091793]","[97, 16.131847998994765]","[95, 15.668386699286582]","[919, 15.476839059706464]"
"[98, 36.82834288269204]","[97, 32.9733089833395]","[9, 32.50353517033583]","[96, 31.48305473599025]","[99, 31.093784071168294]","[95, 29.560804337917464]","[969, 29.13831588760602]","[91, 28.754161390606214]","[963, 27.969429355982694]","[92, 27.44106754788668]"
"[98, 44.85355904917176]","[96, 41.16853560001155]","[97, 38.962624160377416]","[95, 38.10953610695449]","[969, 35.459501769418914]","[9, 35.17316628552396]","[91, 35.16865099358861]","[99, 35.131183493991394]","[92, 31.9878429410326]","[924, 31.596847586940413]"
"[98, 43.526463263883464]","[96, 40.804193079225726]","[97, 38.1790220144651]","[969, 37.028654543801565]","[95, 36.94894379969737]","[91, 36.666322312955145]","[9, 35.884511353614165]","[99, 34.76632498636797]","[963, 33.43531700443485]","[919, 32.916735639662576]"
"[98, 48.81334551678992]","[97, 41.537166854639295]","[96, 41.53144145897247]","[91, 39.46162255864903]","[9, 39.15335324996232]","[969, 38.8295666204139]","[99, 38.06818074917788]","[95, 38.00796029903713]","[919, 36.07583378837937]","[963, 35.14492722783235]"
"[98, 30.034149515937997]","[96, 26.976050213972176]","[9, 26.623851233427448]","[95, 24.856660827346634]","[924, 24.127867729012625]","[93, 23.90043104543797]","[926, 23.502104985510012]","[928, 22.73016015983511]","[993, 22.56648610736953]","[934, 21.659182391147727]"
"[9, 29.960336765026593]","[98, 23.964246976992484]","[93, 22.86528537448817]","[96, 20.78419052774903]","[924, 18.418448579214022]","[919, 18.384944563584643]","[937, 17.364985448598038]","[95, 16.621679101332134]","[97, 16.592139327017094]","[900, 15.315149587353899]"
"[9, 28.908945411935854]","[937, 23.342119612136717]","[902, 22.719058231494206]","[900, 20.91708968558678]","[98, 20.66908825175855]","[93, 19.565257653793143]","[96, 17.733702403007605]","[989, 15.626854499353149]","[984, 15.314139585411983]","[990, 15.173585305759024]"
"[98, 31.82840776982593]","[97, 28.15873326403928]","[9, 27.068770595347214]","[96, 26.382998225136355]","[99, 26.298690694753095]","[963, 22.811632275602868]","[91, 22.573686006844085]","[945, 22.396934756577416]","[95, 22.325668819605923]","[923, 21.805068222647513]"
"[98, 33.87026560254372]","[96, 30.463143248094266]","[97, 29.25150209692209]","[9, 28.847952967263375]","[95, 28.35695654624853]","[919, 28.2329597031532]","[93, 27.891021575034426]","[91, 27.777564744751352]","[92, 27.366738498525102]","[969, 26.894483489450263]"
"[9, 26.559175774781647]","[93, 22.327243616016222]","[98, 21.63058024410679]","[919, 17.08928475596012]","[96, 15.315632879806783]","[924, 14.561155937834844]","[97, 14.047582845651581]","[92, 13.317185555010587]","[928, 13.304286120761612]","[95, 13.178328200981959]"
"[96, 27.907961433126758]","[98, 27.864634307205872]","[97, 25.799419662391852]","[95, 24.91750140484426]","[99, 24.244909289965594]","[9, 24.03315885578925]","[91, 23.23478591486577]","[969, 23.012112963403325]","[919, 21.985029782570837]","[963, 20.966818631527506]"
"[98, 32.8797654585304]","[9, 32.05354730991833]","[93, 29.211834660368332]","[96, 29.11570947018318]","[924, 27.71778324818429]","[919, 26.47196626785047]","[95, 25.855772684805302]","[97, 25.04183593863615]","[99, 24.51225147114022]","[963, 22.969254582850198]"
"[98, 30.503034132105256]","[96, 27.475130112799018]","[95, 26.7747738829501]","[924, 23.52826107928399]","[9, 23.045914087287745]","[91, 22.848219455777684]","[97, 22.566951948547693]","[969, 22.097293373217074]","[93, 21.695523342823346]","[99, 20.90201873568008]"
"[98, 30.839018532684133]","[96, 28.18528807419183]","[93, 28.155538918570553]","[9, 27.60851463479062]","[924, 26.973147163598973]","[919, 25.609813459730766]","[95, 24.435238695105706]","[97, 23.501575796759035]","[928, 23.32711004704742]","[926, 22.55429823826992]"
"[96, 33.12363296119335]","[98, 32.805870161280744]","[95, 28.49230524229808]","[97, 27.703577222200266]","[9, 24.385945033770483]","[919, 23.943867608086943]","[969, 23.6925871457567]","[91, 22.892055058936318]","[99, 22.55203512329267]","[924, 22.38025493038998]"
"[98, 45.20438546376115]","[96, 44.2455982062384]","[97, 37.33913034053804]","[95, 37.29756047428158]","[969, 35.51696271328129]","[9, 34.51537097193297]","[99, 34.41754943002589]","[92, 33.36518972674182]","[91, 32.93460198688505]","[94, 32.427479971636245]"
"[98, 40.03475397587505]","[96, 37.2657029811355]","[95, 32.00610083010432]","[97, 31.127358055107692]","[9, 30.48121218482553]","[924, 30.052415333318407]","[93, 29.4114513176665]","[919, 29.154414280911773]","[993, 29.147888485618218]","[91, 29.1063788152581]"
"[98, 39.305548083957476]","[9, 37.0034890941503]","[97, 34.83357333636105]","[96, 34.80983888874596]","[91, 34.61133384351201]","[963, 33.58133148115169]","[919, 32.756267846994206]","[95, 32.595478295069015]","[969, 32.232845916821745]","[99, 32.019413683229146]"
"[98, 51.827094940888834]","[9, 47.61535457372895]","[96, 47.05056147273039]","[97, 46.55020735843759]","[99, 45.31272451852878]","[92, 42.80481954842632]","[969, 42.7315323722192]","[91, 42.6627003930177]","[963, 42.034435777062306]","[93, 40.645440299780915]"
"[98, 47.090833598111054]","[97, 43.53723529654536]","[96, 41.4592079396616]","[99, 41.15208753289004]","[91, 38.838488761247994]","[9, 38.55898148783072]","[969, 37.816484933161014]","[945, 35.46760192293195]","[963, 35.45115013540207]","[95, 35.023985463093425]"
"[9, 28.836096276383888]","[98, 24.082302541763674]","[937, 23.840034444030533]","[902, 23.264851437335743]","[96, 21.468742954197836]","[900, 19.727292799661377]","[95, 19.70022588244636]","[93, 19.33850671964146]","[919, 18.346142557146383]","[988, 18.20475656804438]"
"[98, 46.21619170340597]","[9, 41.65752915608525]","[96, 39.12571088797362]","[97, 38.05188037919597]","[919, 37.42644663975008]","[92, 37.3152108959569]","[969, 36.638398045881615]","[91, 36.54792409412031]","[93, 36.09873888528855]","[963, 35.8970193419967]"
"[98, 33.646926017029365]","[9, 33.20813071156175]","[93, 31.967772331486515]","[919, 29.64440284372481]","[96, 28.102740099481014]","[924, 26.666649902294665]","[936, 24.907046875896913]","[993, 24.747111614297364]","[95, 24.548811549311377]","[97, 23.502834687035126]"
"[98, 50.82880310895709]","[96, 48.89060249947232]","[97, 45.76269061882527]","[969, 43.37210320075309]","[9, 43.1708334180962]","[91, 41.972508382974794]","[95, 41.454613100673704]","[99, 41.27173850978111]","[919, 40.102023368747496]","[92, 39.61244467261013]"
"[98, 38.97910040942178]","[97, 35.81386660188093]","[96, 35.40270938247533]","[95, 32.99493761228454]","[9, 32.04568317360989]","[99, 31.586606660180202]","[969, 31.376142873957985]","[91, 27.86481714790594]","[963, 27.763356673174417]","[92, 27.31274093242405]"
"[9, 34.46209319565182]","[98, 32.9219915084948]","[93, 28.227594897468247]","[96, 27.763684235659092]","[924, 25.54496936400491]","[95, 23.931951922564785]","[919, 23.759870940867014]","[993, 23.61157103923524]","[97, 23.606754870400486]","[928, 23.079902178934805]"
"[98, 23.482292733634488]","[96, 20.944176599240606]","[9, 18.87383234683253]","[95, 18.645416646165085]","[926, 18.246920707518637]","[924, 17.163693016924245]","[919, 16.97654355829097]","[93, 16.718623228080983]","[97, 16.426742838093613]","[928, 16.160960192565373]"
"[9, 30.20330769663432]","[98, 27.952706186390614]","[93, 25.275889965110316]","[924, 23.145069204572003]","[96, 22.865388573420567]","[919, 22.497473263317847]","[95, 21.684056876442256]","[993, 21.3291448031622]","[928, 20.78894556687563]","[97, 20.01959470358299]"
"[98, 36.9480485602626]","[96, 34.48949828435001]","[93, 30.957796857252752]","[9, 30.921769284053227]","[95, 29.29938632743527]","[919, 28.83428389381135]","[924, 28.21739298658009]","[97, 27.34304403169727]","[963, 24.782810353804223]","[99, 24.74304282557813]"
"[98, 45.51453531085504]","[96, 43.97173488068723]","[91, 38.37939062309045]","[95, 38.37276112551575]","[969, 37.98873179453872]","[99, 37.03471654086422]","[97, 36.956440291974275]","[919, 34.55392299634009]","[9, 32.36642798437508]","[94, 31.18958012214243]"
"[98, 28.358659062365657]","[9, 26.674676398986307]","[96, 24.774264997256083]","[963, 23.469325985194256]","[97, 23.037778024367913]","[95, 22.805041098116668]","[91, 22.688543013875282]","[99, 22.596502922987522]","[923, 21.136598446417537]","[92, 20.814148956210833]"
"[98, 39.07845955344317]","[97, 34.82711755780252]","[9, 34.38115505479293]","[96, 34.274851140429604]","[95, 33.11249610225383]","[963, 31.457894482709644]","[99, 30.42285274103335]","[91, 30.0225816768677]","[92, 29.8682802705588]","[969, 28.50461447508369]"
"[98, 27.120461414288645]","[9, 25.536298680691868]","[96, 24.345594680346956]","[97, 24.077940102357534]","[919, 23.148753385990492]","[91, 22.29985993077766]","[963, 22.15800161774132]","[92, 21.537867475676194]","[95, 21.157312465341775]","[93, 21.077452247740183]"
"[9, 29.139879643030525]","[98, 27.86884598535728]","[96, 24.694945256375465]","[902, 24.365001591079842]","[93, 23.695546473416783]","[919, 22.512504622186135]","[937, 22.454846871033375]","[900, 21.92849757442439]","[924, 19.26031504909334]","[95, 19.24116949542887]"
"[98, 31.90994340273745]","[96, 27.304673638816375]","[93, 25.928949334763953]","[924, 24.84051810192531]","[95, 24.55802742976551]","[9, 24.133210448127638]","[919, 23.922200403935438]","[97, 23.02638688294247]","[993, 22.717844955457558]","[926, 22.64096258920484]"
"[98, 24.285035493413954]","[9, 22.41465792258593]","[96, 22.1093501205895]","[93, 21.082955919777262]","[919, 20.37978582639071]","[92, 20.08114734522246]","[95, 19.410923183008187]","[963, 19.079312524681633]","[97, 19.03780439906638]","[91, 18.16256609191833]"
"[98, 35.829678897718686]","[96, 33.3113441711115]","[9, 30.198575509144206]","[91, 30.10452101649104]","[97, 30.036098216191657]","[95, 29.3525724942622]","[99, 28.661845818081094]","[919, 27.555619287906932]","[92, 27.232212914183492]","[969, 27.171810109574743]"
"[9, 23.004516719564826]","[93, 21.38307518212266]","[98, 21.107808128293474]","[96, 20.351499657925963]","[928, 17.87320314004922]","[919, 16.797084529668997]","[924, 16.723274585948978]","[95, 15.90674796431589]","[993, 15.825504414910808]","[926, 15.1649270438083]"
"[9, 28.77733646435651]","[93, 26.3267755826676]","[98, 22.96809267013466]","[919, 21.296704536522622]","[936, 19.189741918983668]","[96, 18.04609168176468]","[902, 18.02251783779344]","[900, 17.789647099244473]","[95, 16.623402755025754]","[923, 16.58902370180163]"
"[98, 22.511469667135835]","[9, 20.12304363650377]","[97, 19.227112644466878]","[96, 18.17312274615101]","[99, 18.169705456265245]","[95, 16.867426837180144]","[91, 16.347115190858656]","[923, 16.308590527525205]","[969, 16.24338070362739]","[963, 15.619280930932486]"
"[98, 33.40561535365578]","[9, 30.669742190169764]","[96, 28.673365908177175]","[93, 26.764510601411114]","[95, 25.769724297662147]","[924, 25.105027818960963]","[919, 25.058386648536864]","[97, 24.44640332440922]","[928, 23.72135725546115]","[99, 22.096586176474958]"
"[98, 40.00284509827102]","[9, 34.8481509507825]","[97, 33.8619823232476]","[96, 33.82850516283827]","[969, 32.578807660300185]","[95, 32.51871587737824]","[99, 31.63748709978175]","[91, 31.248005585447856]","[963, 30.721094700654845]","[919, 30.716383674376818]"
"[98, 41.754257232635034]","[96, 38.59538851581809]","[95, 33.64307673451098]","[97, 33.142819195863865]","[969, 29.705922225814998]","[99, 29.469706910507966]","[9, 29.086703119477967]","[924, 29.017637380686143]","[993, 28.456661439626053]","[91, 27.920855282564325]"
"[98, 40.548363645581986]","[96, 33.677549784126356]","[9, 31.334943644609357]","[95, 30.86081693408046]","[924, 30.461582837426214]","[97, 30.303071984141994]","[919, 27.263589752343993]","[93, 26.43320574630315]","[99, 26.084303137386705]","[993, 25.93294765318829]"
"[98, 47.3387533868793]","[97, 44.75079658210586]","[9, 44.25970834687831]","[96, 41.307805297914356]","[99, 40.35701096046685]","[91, 39.65904755273331]","[969, 39.057079446857344]","[963, 38.20188572416098]","[92, 38.00410245983969]","[919, 37.37282930954514]"
"[9, 16.86833984403354]","[902, 14.647718957223109]","[937, 13.963269967123715]","[98, 13.459150500183643]","[96, 12.010749389525694]","[900, 11.79454574646162]","[97, 10.32940174404599]","[93, 10.12993004286422]","[95, 10.041376554790476]","[984, 9.986293185646842]"
"[98, 42.061393281880456]","[96, 38.929633467472634]","[97, 33.389671699408076]","[95, 33.340710718668355]","[9, 32.241547374825565]","[99, 31.45077051961159]","[92, 30.76942593535384]","[969, 29.973903785338628]","[94, 29.16294526364361]","[91, 29.077393855056492]"
"[9, 17.296806249422502]","[902, 16.71918853071709]","[98, 15.05435706703241]","[937, 14.840404820452829]","[96, 13.865112049416105]","[900, 13.595726414238467]","[93, 12.998224616565343]","[97, 12.553415635790959]","[990, 11.138151897040515]","[95, 10.496624799689423]"
"[98, 32.94513571657012]","[9, 30.479533719656985]","[93, 28.46899047095761]","[96, 27.779573866989054]","[95, 27.01109788640745]","[919, 25.43630805422881]","[97, 25.384617339380736]","[924, 24.305883661920788]","[969, 23.96829956069333]","[99, 23.758925761537352]"
"[98, 40.594569009931256]","[9, 39.475608666649144]","[97, 37.39325355984082]","[96, 36.214173326736784]","[99, 34.39494553020679]","[923, 34.21764338860809]","[956, 33.501133057608875]","[963, 33.31027962435978]","[93, 33.07813554904554]","[92, 32.859719152551214]"
"[98, 39.51714351612566]","[97, 36.88683456950863]","[96, 34.91045697769706]","[9, 33.8624271958708]","[99, 31.789361866949626]","[969, 29.149371001566145]","[963, 29.03840543599444]","[91, 28.624096628322377]","[95, 27.956420416837958]","[92, 27.445230915054484]"
"[98, 53.28564888458269]","[96, 48.15345993530467]","[95, 44.596787040307845]","[9, 42.60028922322284]","[97, 42.00717490441935]","[969, 39.36657868864917]","[92, 38.436378008058014]","[91, 38.044840293177906]","[959, 37.911415793090555]","[99, 37.53586805159953]"
"[98, 24.922229445257393]","[9, 20.784620603963454]","[96, 20.189761842164113]","[95, 19.338345170867868]","[934, 18.50331208232163]","[93, 17.358500272381452]","[924, 17.273618612861586]","[928, 17.245368379737528]","[919, 17.01960681568357]","[97, 16.902654045157426]"
"[98, 52.655971727034185]","[96, 47.324988388784135]","[9, 43.25228829313885]","[97, 42.94570638280846]","[95, 41.8867054559131]","[92, 41.17819031585678]","[969, 40.54318298627155]","[99, 39.52661617443838]","[959, 38.9262098006998]","[91, 38.78144140586949]"
"[98, 50.89310271977]","[97, 43.7446320022988]","[96, 43.65196895246871]","[99, 41.92779538675619]","[95, 41.61389507002426]","[9, 41.48862621196225]","[91, 40.420860320199935]","[969, 40.281062472564535]","[92, 37.51911276786687]","[94, 35.520191629414384]"
"[98, 40.2780265866105]","[96, 35.24520663328159]","[97, 32.85622783652231]","[9, 32.20218018382211]","[95, 31.56627605563477]","[99, 30.58698348734084]","[969, 30.25901485219142]","[91, 29.78746921857253]","[92, 29.539402660730396]","[963, 29.500603776631735]"
"[98, 37.776034944068996]","[96, 35.468045811282025]","[9, 33.62433345042234]","[97, 33.089080736807]","[99, 32.547328740247174]","[91, 32.06662652896346]","[969, 30.830957968654495]","[95, 30.196318344486418]","[919, 29.40778312584402]","[963, 28.582396104196736]"
"[98, 22.95198109010202]","[97, 21.66239302496569]","[96, 21.237155187847133]","[9, 20.06670092330008]","[99, 18.48650047544673]","[95, 18.378232972652665]","[969, 18.09612344022769]","[94, 17.245666621516698]","[91, 16.65272968078798]","[923, 16.265477795775475]"
"[98, 36.961206792600805]","[96, 33.80811968950234]","[95, 28.94389001185118]","[9, 28.58552683765445]","[97, 27.970819248421922]","[924, 27.540987865595703]","[93, 27.302598363104206]","[919, 27.229437390170393]","[969, 26.296787593284805]","[91, 25.515503776149203]"
"[902, 25.263395355707786]","[98, 23.644692487919695]","[900, 23.1352835279776]","[937, 22.985790701237764]","[9, 22.463150209976153]","[96, 19.975826848273485]","[93, 17.619186225561986]","[95, 17.07541755232772]","[984, 16.141075301444296]","[919, 15.655696227090939]"
"[98, 32.65876750738187]","[96, 29.287407073409682]","[9, 28.300307261049742]","[926, 26.744630196501554]","[95, 26.67350457884592]","[924, 26.164888935049838]","[993, 25.053178584968407]","[928, 24.845445588091735]","[93, 24.625490683879587]","[919, 24.557428460215192]"
"[98, 44.80025951802606]","[96, 43.79256418705336]","[95, 35.718511463480574]","[92, 35.250964540244084]","[97, 34.61406417032881]","[9, 34.490272357804095]","[91, 34.18216725488963]","[919, 34.00724032906328]","[969, 32.97405481316253]","[99, 32.684435386553204]"
"[98, 27.787061967838106]","[96, 25.93227422763328]","[95, 23.49429348227005]","[97, 22.600598092685196]","[91, 21.67036367542805]","[9, 21.398920024021535]","[93, 21.21797258812683]","[919, 19.714335611223245]","[969, 19.514672887789285]","[993, 19.343016438136264]"
"[98, 40.085198297601096]","[9, 37.20098681859308]","[93, 36.83961495926632]","[96, 33.8256841985104]","[924, 32.83574929213549]","[919, 32.37838258188769]","[993, 29.12400456215678]","[95, 28.34634499488914]","[97, 26.659724192863195]","[928, 26.437099391302155]"
"[902, 24.504786901880976]","[9, 23.222382262496296]","[98, 22.72381965950061]","[900, 21.761252945709497]","[937, 20.678893706542766]","[96, 19.69546171529571]","[93, 18.601852514396512]","[95, 16.679927575415253]","[919, 16.41963470192406]","[92, 15.11917379522304]"
